郵遞區號,行政區,用電種類,用戶數,契約容量,售電度數(當月),,,
200,仁愛區,7低壓綜合裝置營業用,＊,106,"10,459 ",,,
200,仁愛區,8低壓綜合需量營業用,324,"9,882","2,316,953 ",,,
200,仁愛區,9低壓綜合營業用電小計,**,"9,988","2,327,412 ",,,
200,仁愛區,10低壓綜合用電小計,**,"13,755","2,777,021 ",,,
200,仁愛區,11低壓裝置電力,60,533,"59,376 ",,,
200,仁愛區,12低壓需量電力,14,468,"144,500 ",,,
200,仁愛區,13低壓電力小計,**,"1,001","203,876 ",,,
200,仁愛區,14高壓電力,24,"7,421","2,102,257 ",,,
200,仁愛區,15特高壓電力,＊,0,0 ,,,
200,仁愛區,16高＆特高壓電力小計,**,"7,421","2,102,257 ",,,
200,仁愛區,17電力小計,**,"8,422","2,306,133 ",,,
200,仁愛區,18綜合＆電力小計,**,"22,177","5,083,154 ",,,
200,仁愛區,19電燈＆綜合＆電力小計,**,"27,847","14,078,068 ",,,
200,仁愛區,20臨時電燈,7,0,700 ,,,
200,仁愛區,21臨時電力,＊,0,0 ,,,
200,仁愛區,22臨時用電小計,**,0,700 ,,,
200,仁愛區,23總計（含臨時用電）,**,"27,847","14,078,768 ",,,
200,仁愛區,24表燈合計,**,"5,670","8,995,614 ",,,
200,仁愛區,25綜合＆電力合計,**,"22,177","5,083,154 ",,,
201,信義區,1表燈非營業用,"24,985",255,"13,092,269 ",,,
201,信義區,2表燈營業用,"1,154","1,792","2,261,779 ",,,
201,信義區,3表燈小計,**,"2,047","15,354,048 ",,,
201,信義區,4低壓綜合裝置非營業用,＊,0,0 ,,,
201,信義區,5低壓綜合需量非營業用,124,"4,699","620,639 ",,,
201,信義區,6低壓綜合非營業用電小計,**,"4,699","620,639 ",,,
201,信義區,7低壓綜合裝置營業用,＊,68,"15,200 ",,,
201,信義區,8低壓綜合需量營業用,48,"3,079","679,065 ",,,
201,信義區,9低壓綜合營業用電小計,**,"3,147","694,265 ",,,
201,信義區,10低壓綜合用電小計,**,"7,846","1,314,904 ",,,
201,信義區,11低壓裝置電力,＊,103,"47,126 ",,,
201,信義區,12低壓需量電力,21,906,"139,509 ",,,
201,信義區,13低壓電力小計,**,"1,009","186,635 ",,,
201,信義區,14高壓電力,33,"12,410","3,942,925 ",,,
201,信義區,15特高壓電力,＊,0,0 ,,,
201,信義區,16高＆特高壓電力小計,**,"12,410","3,942,925 ",,,
201,信義區,17電力小計,**,"13,419","4,129,560 ",,,
201,信義區,18綜合＆電力小計,**,"21,265","5,444,464 ",,,
201,信義區,19電燈＆綜合＆電力小計,**,"23,312","20,798,512 ",,,
201,信義區,20臨時電燈,9,0,"1,294 ",,,
201,信義區,21臨時電力,＊,356,"95,324 ",,,
201,信義區,22臨時用電小計,**,356,"96,618 ",,,
201,信義區,23總計（含臨時用電）,**,"23,312","20,895,130 ",,,
201,信義區,24表燈合計,**,"2,047","15,355,342 ",,,
201,信義區,25綜合＆電力合計,**,"21,265","5,539,788 ",,,
202,中正區,1表燈非營業用,"31,004",234,"14,705,954 ",,,
202,中正區,2表燈營業用,"2,066","3,099","3,545,396 ",,,
202,中正區,3表燈小計,**,"3,333","18,251,350 ",,,
202,中正區,4低壓綜合裝置非營業用,＊,43,"7,240 ",,,
202,中正區,5低壓綜合需量非營業用,207,"8,830","1,346,660 ",,,
202,中正區,6低壓綜合非營業用電小計,**,"8,873","1,353,900 ",,,
202,中正區,7低壓綜合裝置營業用,＊,0,0 ,,,
202,中正區,8低壓綜合需量營業用,121,"4,285","1,009,147 ",,,
202,中正區,9低壓綜合營業用電小計,**,"4,285","1,009,147 ",,,
202,中正區,10低壓綜合用電小計,**,"13,158","2,363,047 ",,,
202,中正區,11低壓裝置電力,40,436,"58,427 ",,,
202,中正區,12低壓需量電力,35,"1,358","329,144 ",,,
202,中正區,13低壓電力小計,**,"1,794","387,571 ",,,
202,中正區,14高壓電力,40,"21,864","7,134,597 ",,,
202,中正區,15特高壓電力,＊,"7,000","1,675,200 ",,,
202,中正區,16高＆特高壓電力小計,**,"28,864","8,809,797 ",,,
202,中正區,17電力小計,**,"30,658","9,197,368 ",,,
202,中正區,18綜合＆電力小計,**,"43,816","11,560,415 ",,,
202,中正區,19電燈＆綜合＆電力小計,**,"47,149","29,811,765 ",,,
202,中正區,20臨時電燈,10,0,"36,655 ",,,
202,中正區,21臨時電力,7,329,"34,160 ",,,
202,中正區,22臨時用電小計,**,329,"70,815 ",,,
202,中正區,23總計（含臨時用電）,**,"47,149","29,882,580 ",,,
202,中正區,24表燈合計,**,"3,333","18,288,005 ",,,
202,中正區,25綜合＆電力合計,**,"43,816","11,594,575 ",,,
203,中山區,1表燈非營業用,"21,845",78,"19,880 ",,,
203,中山區,2表燈營業用,"1,071","1,268","420,612 ",,,
203,中山區,3表燈小計,**,"1,346","440,492 ",,,
203,中山區,4低壓綜合裝置非營業用,＊,0,0 ,,,
203,中山區,5低壓綜合需量非營業用,70,"2,229","261,222 ",,,
203,中山區,6低壓綜合非營業用電小計,**,"2,229","261,222 ",,,
203,中山區,7低壓綜合裝置營業用,＊,0,0 ,,,
203,中山區,8低壓綜合需量營業用,38,"1,300","324,357 ",,,
203,中山區,9低壓綜合營業用電小計,**,"1,300","324,357 ",,,
203,中山區,10低壓綜合用電小計,**,"3,529","585,579 ",,,
203,中山區,11低壓裝置電力,16,216,"62,161 ",,,
203,中山區,12低壓需量電力,14,402,"95,004 ",,,
203,中山區,13低壓電力小計,**,618,"157,165 ",,,
203,中山區,14高壓電力,31,"15,910","3,467,320 ",,,
203,中山區,15特高壓電力,＊,0,0 ,,,
203,中山區,16高＆特高壓電力小計,**,"15,910","3,467,320 ",,,
203,中山區,17電力小計,**,"16,528","3,624,485 ",,,
203,中山區,18綜合＆電力小計,**,"20,057","4,210,064 ",,,
203,中山區,19電燈＆綜合＆電力小計,**,"21,403","4,650,556 ",,,
203,中山區,20臨時電燈,7,0,0 ,,,
203,中山區,21臨時電力,＊,136,"5,400 ",,,
203,中山區,22臨時用電小計,**,136,"5,400 ",,,
203,中山區,23總計（含臨時用電）,**,"21,403","4,655,956 ",,,
203,中山區,24表燈合計,**,"1,346","440,492 ",,,
203,中山區,25綜合＆電力合計,**,"20,057","4,215,464 ",,,
204,安樂區,1表燈非營業用,"39,945",131,"58,620 ",,,
204,安樂區,2表燈營業用,"1,342","2,639","841,161 ",,,
204,安樂區,3表燈小計,**,"2,770","899,781 ",,,
204,安樂區,4低壓綜合裝置非營業用,＊,0,0 ,,,
204,安樂區,5低壓綜合需量非營業用,272,"9,337","1,150,945 ",,,
204,安樂區,6低壓綜合非營業用電小計,**,"9,337","1,150,945 ",,,
204,安樂區,7低壓綜合裝置營業用,＊,0,0 ,,,
